indoor_temp_c,outdoor_temp_c,ac_power_kw,occupancy,horizon_minutes,temp_delta_c
23.0,21.7,2.5,1,15.0,-0.079
27.61,28.84,1.9,1,15.0,-0.1
25.86,35.46,1.9,1,15.0,-0.018
24.79,32.64,1.9,1,15.0,-0.005
21.25,34.13,2.5,0,15.0,-0.04
21.25,31.18,1.2,0,15.0,0.021
20.46,31.85,2.5,1,15.0,-0.065
26.93,34.98,1.2,1,15.0,-0.013
24.81,22.99,2.5,1,15.0,-0.126
25.66,27.79,2.5,1,15.0,-0.126
20.16,22.42,1.2,0,15.0,-0.047
27.76,37.75,1.9,1,15.0,-0.088
26.66,36.88,1.2,1,15.0,-0.013
21.7,18.79,0.0,1,15.0,-0.024
21.45,32.11,0.0,1,15.0,0.052
21.47,36.5,1.2,1,15.0,0.024
22.43,21.61,2.5,0,15.0,-0.117
24.2,29.36,0.0,1,15.0,0.051
23.46,36.31,0.0,1,15.0,0.11
22.33,18.68,2.5,1,15.0,-0.154
24.89,31.95,2.5,1,15.0,-0.117
21.12,23.95,1.9,0,15.0,-0.11
22.34,36.49,2.5,0,15.0,-0.051
22.93,37.42,1.2,0,15.0,0.014
23.65,36.89,1.2,1,15.0,-0.007
26.28,27.48,1.9,0,15.0,-0.129
21.6,35.24,0.0,0,15.0,0.058
24.11,34.89,0.0,1,15.0,0.07
24.74,24.38,2.5,0,15.0,-0.089
20.37,34.58,1.2,1,15.0,0.007
24.86,18.74,0.0,1,15.0,-0.047
21.36,29.93,1.9,1,15.0,-0.071
20.52,22.6,1.9,0,15.0,-0.073
27.59,20.41,1.2,0,15.0,-0.126
27.73,19.54,1.9,1,15.0,-0.104
26.47,31.93,1.9,1,15.0,-0.122
22.44,24.8,1.2,1,15.0,-0.051
20.78,32.5,2.5,0,15.0,-0.033
25.47,19.31,2.5,1,15.0,-0.135
23.52,24.31,1.9,1,15.0,0.031
20.98,28.79,2.5,1,15.0,-0.05
23.96,33.81,2.5,1,15.0,-0.093
20.28,24.38,1.9,1,15.0,-0.062
27.27,30.52,2.5,1,15.0,-0.161
22.07,35.72,1.9,0,15.0,-0.011
25.3,30.32,0.0,1,15.0,-0.002
22.49,22.66,1.2,0,15.0,-0.015
24.16,18.49,1.2,1,15.0,-0.103
24.37,35.4,2.5,1,15.0,-0.051
21.48,18.43,2.5,0,15.0,-0.153
27.76,35.49,2.5,0,15.0,0.002
26.2,28.58,1.2,0,15.0,-0.052
27.52,36.78,0.0,1,15.0,0.128
27.16,33.98,0.0,1,15.0,0.074
24.78,37.96,1.2,0,15.0,0.04
27.37,25.01,0.0,1,15.0,0.005
20.71,33.34,1.2,1,15.0,0.036
21.57,26.04,0.0,0,15.0,-0.052
20.36,27.6,1.9,0,15.0,-0.055
22.6,30.55,1.9,1,15.0,-0.003
23.11,35.47,1.2,1,15.0,0.017
22.17,37.68,0.0,1,15.0,0.033
26.63,33.37,2.5,0,15.0,-0.075
22.85,26.36,0.0,0,15.0,0.088
22.25,26.43,1.9,1,15.0,-0.008
24.34,32.75,1.9,0,15.0,-0.04
21.13,22.78,0.0,0,15.0,0.048
26.42,20.21,0.0,0,15.0,-0.048
20.6,25.09,2.5,1,15.0,-0.151
27.9,23.74,2.5,1,15.0,-0.168
26.18,23.93,0.0,1,15.0,0.053
21.59,22.67,0.0,1,15.0,-0.002
20.04,18.84,0.0,0,15.0,-0.016
26.52,18.36,0.0,1,15.0,-0.054
25.65,37.75,1.2,0,15.0,0.091
25.83,26.56,0.0,1,15.0,0.072
26.17,25.69,2.5,1,15.0,-0.022
20.59,31.59,1.9,1,15.0,-0.026
22.87,22.37,1.2,0,15.0,-0.044
20.93,37.0,0.0,1,15.0,0.032
26.9,33.73,1.9,0,15.0,0.013
24.99,19.79,1.2,1,15.0,-0.126
22.65,26.35,1.9,1,15.0,-0.052
20.51,35.58,0.0,1,15.0,0.043
22.49,36.89,0.0,1,15.0,0.06
22.6,27.35,2.5,1,15.0,-0.115
25.84,30.27,0.0,0,15.0,0.001
25.1,21.34,0.0,1,15.0,-0.039
27.1,37.82,1.2,0,15.0,-0.015
23.78,22.63,2.5,1,15.0,-0.081
20.96,36.85,1.2,1,15.0,-0.006
25.71,30.99,1.9,1,15.0,-0.043
26.09,30.15,0.0,1,15.0,0.075
24.49,28.25,1.9,1,15.0,-0.081
26.17,22.61,1.2,0,15.0,-0.101
23.95,21.53,0.0,1,15.0,-0.019
24.18,22.41,0.0,0,15.0,0.038
23.42,21.73,1.2,1,15.0,-0.052
20.2,33.59,1.2,0,15.0,0.0
20.86,25.0,1.2,0,15.0,-0.01
20.25,19.16,1.2,1,15.0,-0.1
25.09,37.38,1.2,0,15.0,0.043
22.51,35.68,0.0,1,15.0,0.093
24.07,36.56,1.2,0,15.0,0.004
27.26,37.9,0.0,0,15.0,0.026
21.99,21.48,0.0,1,15.0,-0.035
23.28,25.92,1.2,0,15.0,-0.017
26.04,33.16,1.2,0,15.0,0.036
21.83,31.92,2.5,1,15.0,-0.077
20.62,21.08,0.0,0,15.0,0.022
22.32,34.32,1.2,1,15.0,-0.067
21.29,22.49,1.2,0,15.0,-0.069
27.44,22.48,1.2,0,15.0,-0.081
26.46,28.74,2.5,1,15.0,-0.132
25.07,29.86,2.5,0,15.0,-0.121
26.97,29.6,1.9,0,15.0,-0.096
26.43,19.83,0.0,0,15.0,-0.024
21.49,35.55,1.9,0,15.0,-0.013
27.14,23.31,1.2,1,15.0,-0.161
24.31,20.59,2.5,0,15.0,-0.216
26.46,35.77,2.5,1,15.0,-0.08
27.17,37.11,1.9,1,15.0,-0.008
22.54,35.24,2.5,1,15.0,-0.147
20.88,34.19,1.2,1,15.0,0.004
21.82,31.1,2.5,0,15.0,-0.08
